trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
136,22,0.5,0.0625,35.0,1,1.0,0.15589999999997417
137,22,0.5,0.125,35.0,1,1.0,0.32580000000007203
138,22,0.5,0.125,35.0,1,1.0,0.21660000000008495
139,22,0.5,1.0,-35.0,-1,1.0,0.5880000000000791
140,22,0.5,0.125,-35.0,-1,1.0,0.32170000000007803
141,22,0.5,0.125,-35.0,-1,1.0,0.3392000000000053
142,22,0.5,0.25,-35.0,-1,1.0,0.22699999999997544
143,22,0.5,1.0,-35.0,-1,1.0,0.24900000000002365
144,22,0.5,0.0,35.0,-1,0.0,0.30130000000008295
145,22,0.3,0.0,-35.0,1,0.0,0.38020000000005894
146,22,0.5,1.0,35.0,1,1.0,0.28320000000007894
147,22,0.5,0.0,35.0,-1,0.0,0.5611999999999853
148,22,0.5,0.25,-35.0,-1,1.0,0.3491000000000213
149,22,0.5,0.0625,35.0,1,1.0,0.378400000000056
150,22,0.5,0.25,-35.0,-1,1.0,0.1511000000000422
151,22,0.5,1.0,-35.0,-1,1.0,0.10620000000005803
152,22,0.5,0.125,-35.0,-1,1.0,0.13630000000011933
153,22,0.5,0.125,-35.0,-1,1.0,0.2216999999999416
154,22,0.5,0.0625,-35.0,-1,1.0,0.2741000000000895
155,22,0.5,0.0625,-35.0,-1,1.0,0.7316000000000713
156,22,0.5,0.25,35.0,-1,0.0,0.5384000000000242
157,22,0.1,0.25,-35.0,-1,1.0,0.28560000000004493
158,22,0.5,1.0,35.0,-1,0.0,0.2092000000001235
159,22,0.1,1.0,35.0,-1,0.0,0.1754000000000815
160,22,0.0,1.0,35.0,1,1.0,0.31579999999996744
161,22,0.5,1.0,35.0,1,1.0,0.38669900000002144
162,22,0.5,0.125,-35.0,-1,1.0,0.20839999999998327
163,22,0.5,0.25,35.0,1,1.0,0.32760000000007494
164,22,0.5,1.0,-35.0,-1,1.0,0.20070000000009713
165,22,0.5,1.0,35.0,-1,0.0,0.19639999999992597
166,22,0.5,0.25,-35.0,-1,1.0,0.254099999999994
167,22,0.5,0.25,35.0,1,1.0,0.3450000000000273
168,22,0.5,0.0625,35.0,-1,0.0,0.2840000000001055
169,22,0.5,0.0625,-35.0,-1,1.0,0.3593999999999369
170,22,0.5,1.0,-35.0,-1,1.0,0.3689990000000307
171,22,0.5,0.25,35.0,1,1.0,0.2618000000001075
172,22,0.5,0.25,35.0,1,1.0,0.3363000000000511
173,22,0.5,0.25,35.0,1,1.0,0.2889989999999898
174,22,0.5,1.0,-35.0,-1,1.0,0.22610000000008768
175,22,0.5,0.0625,35.0,1,1.0,0.272199999999998
176,22,0.5,0.125,-35.0,1,0.0,0.18400000000008276
177,22,0.5,0.25,35.0,1,1.0,0.3524999999999636
178,22,0.5,1.0,-35.0,-1,1.0,0.37200000000007094
179,22,0.5,1.0,35.0,1,1.0,0.36390000000005784
180,22,0.5,0.125,35.0,1,1.0,0.42830000000003565
181,22,0.5,0.25,-35.0,-1,1.0,0.5956990000000815
182,22,0.5,0.125,35.0,1,1.0,0.3188000000000102
183,22,0.5,0.125,-35.0,-1,1.0,0.43830000000002656
184,22,0.5,0.125,-35.0,-1,1.0,0.3586999999999989
185,22,0.5,0.0625,35.0,1,1.0,0.28130000000010114
186,22,0.5,0.25,-35.0,-1,1.0,0.5405999999999267
187,22,0.5,0.25,-35.0,1,0.0,0.19040000000006785
188,22,0.5,0.125,-35.0,1,0.0,0.34600000000000364
189,22,0.6,0.125,-35.0,-1,1.0,0.4473000000000411
190,22,0.5,1.0,-35.0,-1,1.0,0.21550000000002
191,22,0.5,0.0625,-35.0,1,0.0,0.42629999999996926
192,22,0.5,0.0625,-35.0,-1,1.0,0.427599999999984
193,22,0.5,0.0625,35.0,-1,0.0,0.41840000000001965
194,22,0.5,0.0625,35.0,1,1.0,0.32190000000002783
195,22,0.5,1.0,-35.0,-1,1.0,0.3977999999999611
196,22,0.5,1.0,35.0,1,1.0,0.2765000000000555
197,22,0.5,1.0,-35.0,-1,1.0,0.32559999999989486
198,22,0.5,0.125,-35.0,-1,1.0,0.39009999999996126
199,22,0.5,0.0,35.0,-1,0.0,0.2136000000000422
200,22,0.5,0.0625,35.0,-1,0.0,0.31120000000009895
201,22,0.3,0.0625,35.0,1,1.0,0.3384990000000698
202,22,0.5,1.0,35.0,1,1.0,0.23200000000008458
203,22,0.5,0.0,-35.0,-1,1.0,0.476099999999974
204,22,0.5,0.25,35.0,1,1.0,0.34810000000004493
205,22,0.5,0.0,35.0,1,1.0,0.33299999999997
206,22,0.5,0.0625,35.0,1,1.0,0.29330000000004475
207,22,0.5,0.0625,35.0,1,1.0,0.19590000000005148
208,22,0.5,0.0,-35.0,1,0.0,0.2637999999999465
209,22,0.5,0.0625,35.0,-1,0.0,0.1608000000001084
210,22,0.5,0.125,35.0,1,1.0,0.28930000000002565
211,22,0.5,0.25,35.0,1,1.0,0.2875000000001364
212,22,0.5,0.0,35.0,-1,0.0,0.15629999999998745
213,22,0.5,0.125,-35.0,-1,1.0,0.3753000000000384
214,22,0.5,0.0625,-35.0,-1,1.0,0.2517990000001191
215,22,0.5,1.0,35.0,-1,0.0,0.1027000000000271
216,22,0.5,0.25,-35.0,-1,1.0,0.07900000000006457
217,22,0.5,0.0625,-35.0,-1,1.0,0.12230000000010932
218,22,0.5,0.125,-35.0,1,0.0,0.6787000000000489
219,22,0.5,0.125,35.0,1,1.0,0.4229000000000269
220,22,0.5,1.0,35.0,1,1.0,0.617800000000102
221,22,0.5,0.0,35.0,1,1.0,0.29150000000004184
222,22,0.5,0.0625,35.0,1,1.0,0.1549000000001115
223,22,0.5,0.0625,35.0,1,1.0,0.4576999999999316
224,22,0.5,0.25,35.0,1,1.0,0.29769999999996344
225,22,0.5,0.0625,35.0,1,1.0,0.3106999999999971
226,22,0.5,0.25,-35.0,-1,1.0,0.22829999999999018
227,22,0.5,0.125,-35.0,1,0.0,0.4530000000000882
228,22,0.5,0.125,-35.0,-1,1.0,0.6211000000000695
229,22,0.5,0.125,35.0,1,1.0,0.17840000000012424
230,22,0.5,0.0625,-35.0,-1,1.0,0.6787000000000489
231,22,0.5,0.0625,-35.0,1,0.0,0.9038999999999078
232,22,0.7,0.0625,-35.0,-1,1.0,0.41000000000008185
233,22,0.5,1.0,-35.0,-1,1.0,0.36839999999995143
234,22,0.5,0.0625,35.0,1,1.0,0.36810000000002674
235,22,0.5,1.0,-35.0,-1,1.0,0.42390000000011696
236,22,0.5,0.125,-35.0,1,0.0,0.18860000000006494
237,22,0.5,0.125,35.0,1,1.0,0.3127000000000635
238,22,0.5,0.125,-35.0,1,0.0,0.3916990000001306
239,22,0.5,0.125,35.0,1,1.0,0.4011000000001559
240,22,0.5,0.0,35.0,1,1.0,0.6231000000000222
241,22,0.5,0.0,35.0,1,1.0,0.1069999999999709
242,22,0.5,0.125,35.0,1,1.0,0.20100000000002183
243,22,0.5,0.125,35.0,1,1.0,0.34940000000005966
244,22,0.5,0.125,-35.0,-1,1.0,0.4130000000000109
245,22,0.5,1.0,35.0,1,1.0,0.27510000000006585
246,22,0.5,0.25,-35.0,-1,1.0,0.6899000000000797
247,22,0.5,0.125,35.0,1,1.0,0.553600000000074
248,22,0.5,0.0625,35.0,1,1.0,0.3023000000000593
249,22,0.5,1.0,-35.0,1,0.0,0.36980000000016844
250,22,0.5,0.25,-35.0,-1,1.0,0.1874000000000251
251,22,0.5,0.0,-35.0,1,0.0,0.9218999999999369
252,22,0.5,0.125,35.0,1,1.0,0.27900000000011005
253,22,0.5,1.0,35.0,1,1.0,0.2796000000001868
254,22,0.5,1.0,-35.0,-1,1.0,0.4072999999999638
255,22,0.5,1.0,35.0,1,1.0,0.300399000000084
256,22,0.5,0.0625,35.0,1,1.0,0.43209999999999127
257,22,0.5,0.0,-35.0,1,0.0,0.5304999999999609
258,22,0.8,0.0,35.0,1,1.0,0.36099999999999
259,22,0.5,1.0,-35.0,-1,1.0,0.4020990000000211
260,22,0.5,0.0625,-35.0,1,0.0,0.41400000000010095
261,22,0.8,0.0625,-35.0,1,0.0,3.2482000000001108
262,22,0.5,1.0,35.0,1,1.0,0.29560000000003583
263,22,0.5,0.125,-35.0,-1,1.0,0.5951000000000022
264,22,0.5,1.0,35.0,1,1.0,0.3351000000000113
265,22,0.5,0.125,35.0,1,1.0,0.5250999999999522
266,22,0.5,0.0625,35.0,-1,0.0,0.7420000000000755
267,22,0.5,0.0625,-35.0,1,0.0,0.4821000000000595
