trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
51,18,0.5,0.0625,35.0,1,1.0,0.21280000000001564
52,18,0.5,0.125,-35.0,-1,1.0,0.1301000000000272
53,18,0.5,0.25,-35.0,-1,1.0,0.16859999999996944
54,18,0.5,0.25,-35.0,-1,1.0,0.14249999999998408
55,18,0.5,0.0625,-35.0,-1,1.0,0.12749999999999773
56,18,0.5,0.0,35.0,-1,0.0,0.163599999999974
57,18,0.2,0.0,35.0,-1,0.0,0.14740000000000464
58,18,0.5,1.0,35.0,1,1.0,0.18800000000004502
59,18,0.5,0.125,-35.0,-1,1.0,0.1560999999999808
60,18,0.5,0.125,-35.0,-1,1.0,0.14180099999998674
61,18,0.5,0.25,35.0,1,1.0,0.20439999999996417
62,18,0.5,1.0,35.0,1,1.0,0.19029999999997926
63,18,0.5,1.0,-35.0,-1,1.0,0.18280000000004293
64,18,0.5,1.0,-35.0,-1,1.0,0.5237000000000194
65,18,0.5,0.125,-35.0,-1,1.0,0.1512000000000171
66,18,0.5,0.125,-35.0,-1,1.0,0.13650000000001228
67,18,0.5,1.0,-35.0,-1,1.0,0.23020000000002483
68,18,0.5,1.0,-35.0,-1,1.0,0.13040000000000873
69,18,0.5,0.25,35.0,1,1.0,0.24689999999998236
70,18,0.5,0.0,-35.0,-1,1.0,0.16209999999995262
71,18,0.5,1.0,-35.0,-1,1.0,0.12669999999997117
72,18,0.5,0.125,-35.0,-1,1.0,0.15690000000000737
73,18,0.5,0.125,35.0,-1,0.0,0.15389999999996462
74,18,0.5,0.0,-35.0,-1,1.0,0.16400099999998474
75,18,0.5,0.25,-35.0,-1,1.0,-0.03459999999995489
76,18,0.5,0.0625,35.0,-1,0.0,0.1567009999999982
77,18,0.1,0.0625,-35.0,-1,1.0,0.16170000000005302
78,18,0.5,1.0,35.0,1,1.0,0.233099999999979
79,18,0.5,0.25,-35.0,-1,1.0,0.15279999999995653
