trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
45,11,0.5,0.125,35.0,-1,0.0,0.6529999999999916
46,11,0.5,0.0625,-35.0,-1,1.0,1.1509999999999536
47,11,0.5,0.0,-35.0,-1,1.0,13.092499999999973
48,11,0.5,1.0,35.0,1,1.0,0.3451000000000022
49,11,0.5,0.125,35.0,1,1.0,0.8077999999999861
50,11,0.5,0.25,-35.0,-1,1.0,0.4157000000000153
51,11,0.5,0.25,-35.0,-1,1.0,0.4141999999999939
52,11,0.5,0.125,35.0,-1,0.0,1.2448999999999728
53,11,0.5,0.125,-35.0,-1,1.0,0.4972999999999388
54,11,0.5,0.125,-35.0,1,0.0,4.249899999999968
55,11,0.5,0.125,-35.0,-1,1.0,0.20529999999996562
56,11,0.5,0.0625,-35.0,-1,1.0,0.8584000000000174
57,11,0.5,0.125,-35.0,-1,1.0,0.3299000000000092
58,11,0.5,0.0625,35.0,-1,0.0,0.4230999999999767
59,11,0.5,0.0625,-35.0,-1,1.0,0.46989999999999554
60,11,0.5,0.0,35.0,-1,0.0,4.908400000000029
61,11,0.5,0.0,-35.0,-1,1.0,2.929499999999962
62,11,0.5,0.125,35.0,-1,0.0,1.1265999999999963
63,11,0.5,0.125,-35.0,-1,1.0,1.1332000000000448
64,11,0.5,0.25,35.0,-1,0.0,0.4895999999999958
65,11,0.5,0.0625,35.0,-1,0.0,1.0611999999999853
66,11,0.5,0.25,-35.0,-1,1.0,0.42880000000002383
67,11,0.5,0.0625,35.0,-1,0.0,3.4621999999999957
68,11,0.0,0.0625,35.0,-1,0.0,0.33639999999996917
69,11,0.5,1.0,35.0,1,1.0,0.5713000000000079
70,11,0.5,0.0625,-35.0,-1,1.0,0.8485000000000014
71,11,0.5,0.0625,-35.0,-1,1.0,0.47469999999998436
72,11,0.5,0.0625,35.0,-1,0.0,10.79989999999998
73,11,0.1,0.0625,-35.0,-1,1.0,1.6023000000000138
74,11,0.5,1.0,35.0,1,1.0,4.589200000000005
75,11,0.5,1.0,-35.0,-1,1.0,0.30999999999994543
76,11,0.5,0.0625,-35.0,-1,1.0,0.3856999999999289
77,11,0.5,0.0,-35.0,-1,1.0,0.24840000000000373
78,11,0.5,1.0,35.0,1,1.0,0.8076999999999543
79,11,0.5,0.25,-35.0,-1,1.0,0.35599999999999454
80,11,0.5,0.0,-35.0,-1,1.0,0.7264999999999873
81,11,0.5,0.0,-35.0,-1,1.0,0.3143999999999778
82,11,0.5,1.0,35.0,1,1.0,0.6827000000000112
83,11,0.5,0.25,35.0,-1,0.0,0.28649999999998954
84,11,0.5,0.125,-35.0,-1,1.0,0.31569999999999254
85,11,0.5,0.0,35.0,1,1.0,0.4422999999999888
86,11,0.5,1.0,35.0,1,1.0,0.3272000000000048
87,11,0.5,1.0,-35.0,-1,1.0,0.2817000000000007
88,11,0.5,0.0,35.0,-1,0.0,4.292899999999975
89,11,0.5,0.25,-35.0,-1,1.0,0.467899999999986
90,11,0.5,1.0,-35.0,-1,1.0,0.3432999999999993
91,11,0.5,0.0625,-35.0,-1,1.0,1.059500000000014
92,11,0.5,0.125,35.0,1,1.0,1.1496000000000208
93,11,0.5,0.0625,-35.0,-1,1.0,0.3735999999999535
94,11,0.5,0.125,-35.0,-1,1.0,0.4017999999999802
95,11,0.5,0.125,35.0,1,1.0,0.6062000000000012
96,11,0.5,0.125,35.0,1,1.0,0.6899000000000228
97,11,0.5,0.0625,-35.0,-1,1.0,0.438000000000045
98,11,0.5,0.0,35.0,-1,0.0,0.2785999999999831
99,11,0.3,0.0,35.0,-1,0.0,6.343099999999993
100,11,0.5,1.0,35.0,1,1.0,0.4666000000000281
101,11,0.5,0.25,-35.0,-1,1.0,0.34660000000002356
102,11,0.5,0.125,-35.0,-1,1.0,0.27899999999999636
103,11,0.5,0.0625,35.0,-1,0.0,0.4621999999999389
104,11,0.5,0.125,35.0,1,1.0,0.892099999999914
105,11,0.5,0.125,-35.0,-1,1.0,0.22320000000001983
106,11,0.5,1.0,35.0,1,1.0,0.3203999999999496
107,11,0.5,0.0,-35.0,-1,1.0,0.9189000000000078
